geocode_address	above_high	above_low	time
0 AIRPORT DR, BRISBANEAIRPORT, BRISBANE	2.3	-10.9	29/01/2013 11:00:00 AM
0 CURLEW ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
0 GATEWAY ARTERIAL RD, MURARRIE, BRISBANE	2.2	-32.5	29/01/2013 11:00:00 AM
0 PORT DR, PORTOFBRISBANE, BRISBANE	1.8	-4.7	29/01/2013 11:00:00 AM
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.2	-2.4	29/01/2013 11:00:00 AM
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.2	-9.4	29/01/2013 11:00:00 AM
0 UNNAMED RD, MOUNTCROSBY, BRISBANE	14.6	-45.7	30/01/2013 2:40:00 AM
1  BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	0.3	-1.8	29/01/2013 11:00:00 AM
1  NEWSTEAD TCE, NEWSTEAD, BRISBANE	2.2	-1.5	29/01/2013 11:00:00 AM
1  OXFORD ST, BULIMBA, BRISBANE	0.8	-2.7	29/01/2013 11:00:00 AM
1 A BARRAMUL ST, BULIMBA, BRISBANE	0	0	29/01/2013 11:00:00 AM
1 A BOUNDARY ST, SOUTHBRISBANE, BRISBANE	0.2	-2.5	29/01/2013 10:45:00 AM
1 A BULK TERMINALS DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
1 A CELESTIAL CT, CARINA, BRISBANE	0.6	-3.9	29/01/2013 11:00:00 AM
1 A CREEK ST, BRISBANECITY, BRISBANE	2.9	-2	29/01/2013 10:55:00 AM
1 A HOLMAN ST, KANGAROOPOINT, BRISBANE	2.7	-1.4	29/01/2013 11:00:00 AM
1 A HORACE ST, WINDSOR, BRISBANE	1.3	-2.2	29/01/2013 11:00:00 AM
1 A HUDSON RD, ALBION, BRISBANE	1.7	-2	29/01/2013 11:00:00 AM
1 A IVY ST, INDOOROOPILLY, BRISBANE	0.9	-23.5	29/01/2013 9:40:00 AM
1 A MONTAGUE RD, SOUTHBRISBANE, BRISBANE	3.4	-2.3	29/01/2013 10:45:00 AM
1 A OXFORD ST, BULIMBA, BRISBANE	1.8	-1.1	29/01/2013 11:00:00 AM
1 A PETAL ST, HEMMANT, BRISBANE	0.3	-0.7	29/01/2013 11:00:00 AM
1 A SUGARMILL RD, PINKENBA, BRISBANE	0.6	-2.1	29/01/2013 11:00:00 AM
1 A WHARF ST, CHELMER, BRISBANE	3.9	-3.6	29/01/2013 9:35:00 AM
1 A WHIMBREL ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
1 ATKINSON DR, KARANADOWNS, BRISBANE	4.6	-12.8	29/01/2013 9:50:00 PM
1 B CREEK ST, BRISBANECITY, BRISBANE	3.1	-4.4	29/01/2013 10:55:00 AM
1 B HORACE ST, WINDSOR, BRISBANE	0.4	0.3	29/01/2013 11:00:00 AM
1 B MERLIN ST, TENNYSON, BRISBANE	3.8	-13.5	29/01/2013 9:50:00 AM
1 B WELSBY ST, NEWFARM, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM
1 B WHARF ST, CHELMER, BRISBANE	4.4	0.6	29/01/2013 9:35:00 AM
1 BARRAMUL ST, BULIMBA, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM
1 BILLAGALL DR, KARANADOWNS, BRISBANE	0.2	-14.2	29/01/2013 2:25:00 PM
1 BISHOP DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
1 BORVA ST, DUTTONPARK, BRISBANE	1.1	-22.8	29/01/2013 10:20:00 AM
1 BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	0.7	-2.1	29/01/2013 11:00:00 AM
1 BYRNE ST, WINDSOR, BRISBANE	0.1	-2.8	29/01/2013 11:00:00 AM
1 C MACQUARIE ST, TENERIFFE, BRISBANE	2.4	1	29/01/2013 11:00:00 AM
1 CHORLTON ST, EASTBRISBANE, BRISBANE	0.1	-4.3	29/01/2013 11:00:00 AM
1 D SPINE ST, SUMNER, BRISBANE	1.9	-6	29/01/2013 6:15:00 AM
1 E PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
1 EDMOND ST, COORPAROO, BRISBANE	0.2	-5.6	29/01/2013 11:00:00 AM
1 ESKER ST, PINKENBA, BRISBANE	0.1	-0.7	29/01/2013 11:00:00 AM
1 GARDNER CL, MILTON, BRISBANE	0.2	-1.7	29/01/2013 10:40:00 AM
1 GLENFIELD ST, WESTEND, BRISBANE	0.3	-6.4	29/01/2013 10:25:00 AM
1 GLENNY ST, TOOWONG, BRISBANE	2.8	-5.8	29/01/2013 10:30:00 AM
1 GRAY ST, NEWFARM, BRISBANE	0.5	-3.6	29/01/2013 11:00:00 AM
1 GRIMES ST, AUCHENFLOWER, BRISBANE	0.8	-1.7	29/01/2013 10:40:00 AM
1 HEMMANT-TINGALPA RD, HEMMANT, BRISBANE	0.4	-1.7	29/01/2013 11:00:00 AM
1 HUXHAM TCE, AUCHENFLOWER, BRISBANE	0.7	-2.2	29/01/2013 10:40:00 AM
1 IVY ST, INDOOROOPILLY, BRISBANE	1.8	-19.9	29/01/2013 9:40:00 AM
1 JILBA ST, INDOOROOPILLY, BRISBANE	1.3	-4.6	29/01/2013 9:30:00 AM
1 JOHNSTONE ST, SHERWOOD, BRISBANE	1.9	0.8	29/01/2013 9:50:00 AM
1 JOSEPH ST, SHERWOOD, BRISBANE	3.2	-5.4	29/01/2013 9:25:00 AM
1 KARELLA ST, FIGTREEPOCKET, BRISBANE	3.2	-8	29/01/2013 9:25:00 AM
1 KING ARTHUR TCE, TENNYSON, BRISBANE	3.7	-7.2	29/01/2013 9:50:00 AM
1 KITE ST, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
1 KYNUNA CT, KARANADOWNS, BRISBANE	11.9	-26.7	29/01/2013 6:25:00 PM
1 LEURA AVE, HAWTHORNE, BRISBANE	0.4	-0.3	29/01/2013 11:00:00 AM
1 LINCOLN ST, GREENSLOPES, BRISBANE	1.6	-5.9	29/01/2013 11:00:00 AM
1 MACBARRY PL, ROCKLEA, BRISBANE	0.8	-1.8	29/01/2013 9:50:00 AM
1 MARIGOLD ST, HEMMANT, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM
1 MT OMMANEY DR, JINDALEE, BRISBANE	5.3	-7.3	29/01/2013 8:45:00 AM
1 NEWSTEAD TCE, NEWSTEAD, BRISBANE	2.2	-2.6	29/01/2013 11:00:00 AM
1 ORSOVA ST, PINKENBA, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM
1 OXFORD ST, BULIMBA, BRISBANE	0.8	-2.5	29/01/2013 11:00:00 AM
1 PARK AVE, AUCHENFLOWER, BRISBANE	1.5	-0.4	29/01/2013 10:35:00 AM
1 PARK RD, YERONGA, BRISBANE	0.5	-1	29/01/2013 10:10:00 AM
1 RANDLE RD, PINKENBA, BRISBANE	0.8	-1.7	29/01/2013 11:00:00 AM
1 RIVERVIEW CT, NEWFARM, BRISBANE	1.5	-2.9	29/01/2013 11:00:00 AM
1 SANDPIPER AVE, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
1 ST LEONARDS ST, COORPAROO, BRISBANE	2.4	-8.8	29/01/2013 11:00:00 AM
1 SYLVAN RD, TOOWONG, BRISBANE	0.7	-4.5	29/01/2013 10:35:00 AM
1 TATE ST, ALBION, BRISBANE	0.3	-0.2	29/01/2013 11:00:00 AM
1 TURNER ST, WINDSOR, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM
1 WELSBY ST, NEWFARM, BRISBANE	0.2	-0.1	29/01/2013 11:00:00 AM
1 WHIMBREL ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
10  ADINA ST, NORMANPARK, BRISBANE	0	-0.1	29/01/2013 11:00:00 AM
10  CARLOW ST, WESTEND, BRISBANE	0	-3.6	29/01/2013 10:25:00 AM
10  HUDSON RD, ALBION, BRISBANE	0.3	-2.3	29/01/2013 11:00:00 AM
10  MANNING ST, MILTON, BRISBANE	0.1	-0.2	29/01/2013 10:40:00 AM
10  OXFORD TCE, TARINGA, BRISBANE	0	-6.8	29/01/2013 10:30:00 AM
10 A WYUNA CT, HEMMANT, BRISBANE	2.1	-2.6	29/01/2013 11:00:00 AM
10 ADINA ST, NORMANPARK, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM
10 ALBANY ST, WINDSOR, BRISBANE	0.1	-0.5	29/01/2013 11:00:00 AM
10 ALBION ST, WOOLLOONGABBA, BRISBANE	0.2	-0.8	29/01/2013 11:00:00 AM
10 ALLAWAH ST, YEERONGPILLY, BRISBANE	0.4	-1.1	29/01/2013 9:50:00 AM
10 AUSTIN ST, NEWSTEAD, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM
10 BINGERA DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
10 BOGAN ST, ALBION, BRISBANE	0.5	0.1	29/01/2013 11:00:00 AM
10 BURRINGBAR ST, HEMMANT, BRISBANE	0.2	-5	29/01/2013 11:00:00 AM
10 CAMFORD ST, MILTON, BRISBANE	0.8	0	29/01/2013 10:40:00 AM
10 CANARA ST, NORMANPARK, BRISBANE	0.1	-0.8	29/01/2013 11:00:00 AM
10 CARLOW ST, WESTEND, BRISBANE	2	-4.7	29/01/2013 10:25:00 AM
10 CARR ST, BULIMBA, BRISBANE	0	-0.3	29/01/2013 11:00:00 AM
10 COLLINGWOOD ST, ALBION, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM
10 CORELLA ST, ROCKLEA, BRISBANE	0.7	0	29/01/2013 9:50:00 AM
10 CROSBY RD, ALBION, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM
10 CULLEN ST, WINDSOR, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM
10 DOUGLAS ST, SHERWOOD, BRISBANE	2.5	-13.5	29/01/2013 9:20:00 AM
10 EAGLE FARM RD, PINKENBA, BRISBANE	0.8	-3.3	29/01/2013 11:00:00 AM
10 ELLIOT ST, ALBION, BRISBANE	0.5	0.1	29/01/2013 11:00:00 AM
10 EXPORT ST, LYTTON, BRISBANE	0.2	-1.8	29/01/2013 11:00:00 AM
10 FOX ST, ALBION, BRISBANE	0.5	0	29/01/2013 11:00:00 AM
10 GILLAN ST, NORMANPARK, BRISBANE	2.3	-3.8	29/01/2013 11:00:00 AM
10 HALDANE ST, GRACEVILLE, BRISBANE	0.2	-0.6	29/01/2013 9:40:00 AM
10 HEUSSLER TCE, MILTON, BRISBANE	0.2	-0.4	29/01/2013 10:40:00 AM
10 HIGGS ST, ALBION, BRISBANE	0.4	-0.4	29/01/2013 11:00:00 AM
10 HIRON ST, STLUCIA, BRISBANE	1.3	-4.4	29/01/2013 10:30:00 AM
10 HOPE ST, NORMANPARK, BRISBANE	0	-1.3	29/01/2013 11:00:00 AM
10 HUDSON RD, ALBION, BRISBANE	0.5	-4.3	29/01/2013 11:00:00 AM
10 HUNT ST, HAMILTON, BRISBANE	0.2	-1.2	29/01/2013 11:00:00 AM
10 HUTCHESON ST, ALBION, BRISBANE	0.6	0.2	29/01/2013 11:00:00 AM
10 IMMARNA ST, ALBION, BRISBANE	0.3	-0.8	29/01/2013 11:00:00 AM
10 JULIUS ST, NEWFARM, BRISBANE	2.1	-12.5	29/01/2013 11:00:00 AM
10 KYNUNA CT, KARANADOWNS, BRISBANE	11.8	-20	29/01/2013 6:15:00 PM
10 LEURA TCE, HAWTHORNE, BRISBANE	0.1	-3.2	29/01/2013 11:00:00 AM
10 MANNING ST, MILTON, BRISBANE	0.2	-0.5	29/01/2013 10:40:00 AM
