geocode_address	above_low	above_high	time	lat	lng
0 AIRPORT DR, BRISBANEAIRPORT, BRISBANE	2.3	-10.9	29/01/2013 11:00:00 AM	-27.4069135	153.0995354
0 CURLEW ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.3678587	153.1806264
0 GATEWAY ARTERIAL RD, MURARRIE, BRISBANE	2.2	-32.5	29/01/2013 11:00:00 AM	-27.4107434	153.0709692
0 PORT DR, PORTOFBRISBANE, BRISBANE	1.8	-4.7	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.2	-2.4	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
0 PORT DR, PORTOFBRISBANE, BRISBANE	2.2	-9.4	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
0 UNNAMED RD, MOUNTCROSBY, BRISBANE	14.6	-45.7	30/01/2013 2:40:00 AM	-27.4710107	153.0234489
1  BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	0.3	-1.8	29/01/2013 11:00:00 AM	-27.4499828	153.0417609
1  NEWSTEAD TCE, NEWSTEAD, BRISBANE	2.2	-1.5	29/01/2013 11:00:00 AM	-27.4476632	153.0458993
1  OXFORD ST, BULIMBA, BRISBANE	0.8	-2.7	29/01/2013 11:00:00 AM	-27.4505316	153.0529215
1 A BARRAMUL ST, BULIMBA, BRISBANE	0	0	29/01/2013 11:00:00 AM	-27.4534957	153.0578818
1 A BOUNDARY ST, SOUTHBRISBANE, BRISBANE	0.2	-2.5	29/01/2013 10:45:00 AM	-27.4706022	153.0138014
1 A BULK TERMINALS DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.3892422	153.1604289
1 A CELESTIAL CT, CARINA, BRISBANE	0.6	-3.9	29/01/2013 11:00:00 AM	-27.488798	153.102886
1 A CREEK ST, BRISBANECITY, BRISBANE	2.9	-2	29/01/2013 10:55:00 AM	-27.4684895	153.0300415
1 A HOLMAN ST, KANGAROOPOINT, BRISBANE	2.7	-1.4	29/01/2013 11:00:00 AM	-27.466225	153.036764
1 A HORACE ST, WINDSOR, BRISBANE	1.3	-2.2	29/01/2013 11:00:00 AM	-27.4436729	153.0302823
1 A HUDSON RD, ALBION, BRISBANE	1.7	-2	29/01/2013 11:00:00 AM	-27.43317	153.040934
1 A IVY ST, INDOOROOPILLY, BRISBANE	0.9	-23.5	29/01/2013 9:40:00 AM	-27.507327	152.979415
1 A MONTAGUE RD, SOUTHBRISBANE, BRISBANE	3.4	-2.3	29/01/2013 10:45:00 AM	-27.47005	153.016087
1 A OXFORD ST, BULIMBA, BRISBANE	1.8	-1.1	29/01/2013 11:00:00 AM	-27.4505316	153.0529215
1 A PETAL ST, HEMMANT, BRISBANE	0.3	-0.7	29/01/2013 11:00:00 AM	-27.4456259	153.120189
1 A SUGARMILL RD, PINKENBA, BRISBANE	0.6	-2.1	29/01/2013 11:00:00 AM	-27.4289879	153.1033536
1 A WHARF ST, CHELMER, BRISBANE	3.9	-3.6	29/01/2013 9:35:00 AM	-27.5066953	152.9736759
1 A WHIMBREL ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.381928	153.1748774
1 ATKINSON DR, KARANADOWNS, BRISBANE	4.6	-12.8	29/01/2013 9:50:00 PM	-27.55552	152.806253
1 B CREEK ST, BRISBANECITY, BRISBANE	3.1	-4.4	29/01/2013 10:55:00 AM	-27.4684895	153.0300415
1 B HORACE ST, WINDSOR, BRISBANE	0.4	0.3	29/01/2013 11:00:00 AM	-27.4436729	153.0302823
1 B MERLIN ST, TENNYSON, BRISBANE	3.8	-13.5	29/01/2013 9:50:00 AM	-27.525818	153.001613
1 B WELSBY ST, NEWFARM, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM	-27.467865	153.047901
1 B WHARF ST, CHELMER, BRISBANE	4.4	0.6	29/01/2013 9:35:00 AM	-27.5066953	152.9736759
1 BARRAMUL ST, BULIMBA, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM	-27.4534957	153.0578818
1 BILLAGALL DR, KARANADOWNS, BRISBANE	0.2	-14.2	29/01/2013 2:25:00 PM	-27.540415	152.826838
1 BISHOP DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM	-27.373454	153.184575
1 BORVA ST, DUTTONPARK, BRISBANE	1.1	-22.8	29/01/2013 10:20:00 AM	-27.494462	153.02054
1 BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	0.7	-2.1	29/01/2013 11:00:00 AM	-27.4499828	153.0417609
1 BYRNE ST, WINDSOR, BRISBANE	0.1	-2.8	29/01/2013 11:00:00 AM	-27.4422858	153.0322196
1 C MACQUARIE ST, TENERIFFE, BRISBANE	2.4	1	29/01/2013 11:00:00 AM	-27.461837	153.050453
1 CHORLTON ST, EASTBRISBANE, BRISBANE	0.1	-4.3	29/01/2013 11:00:00 AM	-27.490188	153.0472
1 D SPINE ST, SUMNER, BRISBANE	1.9	-6	29/01/2013 6:15:00 AM	-27.5675063	152.9378492
1 E PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM	-27.3790856	153.1710501
1 EDMOND ST, COORPAROO, BRISBANE	0.2	-5.6	29/01/2013 11:00:00 AM	-27.493616	153.055068
1 ESKER ST, PINKENBA, BRISBANE	0.1	-0.7	29/01/2013 11:00:00 AM	-27.421515	153.120933
1 GARDNER CL, MILTON, BRISBANE	0.2	-1.7	29/01/2013 10:40:00 AM	-27.4729537	153.0036155
1 GLENFIELD ST, WESTEND, BRISBANE	0.3	-6.4	29/01/2013 10:25:00 AM	-27.489929	153.00826
1 GLENNY ST, TOOWONG, BRISBANE	2.8	-5.8	29/01/2013 10:30:00 AM	-27.488661	152.994277
